filename,n_chv_concepts,n_chv_dsyn_concepts,n_chv_sosy_concepts,avg_chv_value_all,avg_chv_alue_dsyn,avg_chv_value_sosy
clueweb12-0300wb-46-20303,695,47,4,0.760,0.615,0.559
clueweb12-0805wb-55-18453,63,1,0,0.775,0.888,0.000
clueweb12-0200wb-63-11201,130,0,2,0.700,0.000,0.736
clueweb12-0818wb-77-11598,39,0,0,0.767,0.000,0.000
clueweb12-1703wb-68-28292,0,0,0,0.000,0.000,0.000
clueweb12-1107wb-86-00248,24,0,0,0.868,0.000,0.000
clueweb12-0712wb-54-10044,725,13,13,0.737,0.723,0.705
clueweb12-0400tw-37-09454,0,0,0,0.000,0.000,0.000
clueweb12-0904wb-70-21617,77,0,4,0.789,0.000,0.559
clueweb12-1201tw-20-17189,434,5,1,0.780,0.873,0.955
clueweb12-0606wb-75-20872,407,2,9,0.783,0.690,0.908
clueweb12-0009wb-03-07407,340,4,5,0.778,0.665,0.660
clueweb12-0700tw-57-03245,15,2,0,0.785,0.634,0.000
clueweb12-0507wb-16-17418,251,1,7,0.758,0.888,0.724
clueweb12-0806wb-38-02316,68,3,0,0.697,0.739,0.000
clueweb12-0106wb-09-32864,468,20,14,0.708,0.533,0.714
clueweb12-1003wb-73-11481,2740,30,49,0.839,0.783,0.804
clueweb12-1105wb-27-18343,14,0,0,0.703,0.000,0.000
clueweb12-1907wb-06-10680,799,17,21,0.753,0.642,0.813
clueweb12-0211wb-85-20964,1542,119,17,0.740,0.455,0.749
clueweb12-0300tw-80-15969,27,0,1,0.808,0.000,0.595
clueweb12-0501wb-84-08194,31,4,1,0.800,0.662,0.963
clueweb12-0110wb-01-15643,38,1,0,0.790,0.888,0.000
clueweb12-1801wb-18-04714,222,18,8,0.756,0.691,0.887
clueweb12-1808wb-45-08022,0,0,0,0.000,0.000,0.000
clueweb12-0200tw-90-18410,332,4,0,0.750,0.609,0.000
clueweb12-1300tw-04-00355,145,0,2,0.789,0.000,0.595
clueweb12-0412wb-34-27822,0,0,0,0.000,0.000,0.000
clueweb12-1904wb-57-23102,0,0,0,0.000,0.000,0.000
clueweb12-1412wb-68-10893,1394,24,28,0.772,0.665,0.726
clueweb12-1412wb-66-02786,1466,18,3,0.730,0.593,0.684
clueweb12-1612wb-05-30689,81,10,0,0.758,0.640,0.000
clueweb12-0504wb-04-01596,1142,23,85,0.734,0.641,0.735
clueweb12-0906wb-46-09218,95,0,0,0.759,0.000,0.000
clueweb12-0401wb-61-19847,400,5,5,0.701,0.573,0.571
clueweb12-0300wb-33-01555,772,20,14,0.719,0.721,0.733
clueweb12-1803wb-09-05486,343,33,24,0.742,0.740,0.745
clueweb12-0205wb-11-31781,1234,67,2,0.785,0.738,0.934
clueweb12-0006wb-60-03093,28,0,0,0.838,0.000,0.000
clueweb12-0012wb-53-01749,629,10,13,0.763,0.649,0.714
clueweb12-0200wb-85-00657,140,0,0,0.743,0.000,0.000
clueweb12-1804wb-99-11077,1908,100,48,0.765,0.643,0.834
clueweb12-0302wb-59-20205,948,48,0,0.697,0.545,0.000
clueweb12-1309wb-87-01045,1084,27,10,0.740,0.612,0.720
clueweb12-1406wb-81-15891,141,0,0,0.750,0.000,0.000
clueweb12-0501wb-26-01363,153,4,10,0.764,0.674,0.633
clueweb12-0000wb-07-36488,90,3,0,0.730,0.609,0.000
clueweb12-1802wb-18-11596,716,12,29,0.721,0.715,0.805
clueweb12-1700wb-09-27224,193,6,3,0.781,0.584,0.924
clueweb12-0308wb-98-13971,984,9,1,0.712,0.761,0.571
clueweb12-1800wb-59-07547,104,0,0,0.789,0.000,0.000
